IncidenceLungCancer,FoulBreathIndex
65,0.81
85,0.44
19,0.42
48,0.31
50,0.50
58,0.88
36,0.14
75,0.26
22,0.05
60,0.31
41,0.27
34,0.64
83,0.78
54,0.69
30,0.58
95,0.58
91,0.92
52,0.08
40,0.62
75,0.48
38,0.93
33,0.14
37,0.61
44,0.54
53,0.82
56,0.57
62,0.76
52,0.38
42,0.44
20,0.08
60,0.30
87,0.90
63,0.12
45,0.84
48,0.66
24,0.94
35,0.88
64,0.98
71,0.72
69,0.69
57,0.33
18,0.32
50,0.86
37,0.23
31,0.40
50,0.69
64,0.41
43,0.43
87,0.61
45,0.42
55,0.85
34,0.39
41,0.57
60,0.26
15,0.07
44,0.72
25,0.89
63,0.60
67,0.44
83,0.32
45,0.34
60,0.23
62,0.00
65,0.44
45,0.70
32,0.16
3,0.41
0,0.44
2,0.16
55,0.14
82,1.00
68,0.32
67,0.07
87,0.49
58,0.44
54,0.44
38,0.43
44,0.23
83,0.57
77,0.39
23,0.42
30,0.25
58,0.00
53,0.32
46,0.60
59,0.49
40,0.73
35,0.27
71,0.48
40,0.05
48,0.55
64,0.08
12,0.14
51,0.27
62,0.32
59,0.01
30,0.03
57,0.29
27,0.79
40,0.50
12,0.23
39,0.46
81,0.93
33,0.16
68,0.56
84,0.92
37,0.61
53,0.18
63,0.56
52,0.51
45,0.18
64,0.75
69,0.92
26,0.47
67,0.88
42,0.75
55,0.47
54,0.39
35,0.27
33,0.17
51,0.45
26,0.47
39,0.43
26,0.21
37,0.43
100,0.53
45,0.22
23,0.56
48,0.39
59,0.60
73,0.75
71,0.70
65,0.89
28,0.69
45,0.19
56,0.25
59,0.53
46,0.18
21,0.35
68,0.74
74,0.52
47,0.89
57,0.60
42,0.30
56,0.54
56,1.00
92,0.79
49,0.37
48,0.91
26,0.14
49,0.36
8,0.03
47,0.67
0,0.26
53,0.66
43,0.25
24,0.62
61,0.41
35,0.66
47,0.70
31,0.47
44,0.52
66,0.82
39,0.17
76,0.77
65,0.57
30,0.21
65,0.43
40,0.42
92,0.50
54,0.62
61,0.43
45,0.53
66,0.79
41,0.72
65,0.45
44,1.00
73,0.69
48,0.28
64,0.36
38,0.51
24,0.30
